market_id,event_start_ts,event_end_ts,include_for_analysis,exclusion_reason,ptb_present,final_reference_present,coverage_status,dropped_events,corrupt_row_count,gap_rate,gap_rate_usable_as_feature,label_validity_status
btc_5m_20260705_1700,2026-07-05T16:55:00+00:00,2026-07-05T17:00:00+00:00,False,price_to_beat_missing,False,True,recorded,0,0,0.91113,True,missing_ptb
btc_5m_20260705_1705,2026-07-05T17:00:00+00:00,2026-07-05T17:05:00+00:00,True,,True,True,recorded,0,0,0.932536,True,valid_proxy
btc_5m_20260705_1710,2026-07-05T17:05:00+00:00,2026-07-05T17:10:00+00:00,True,,True,True,recorded,0,0,0.930995,True,valid_proxy
btc_5m_20260705_1715,2026-07-05T17:10:00+00:00,2026-07-05T17:15:00+00:00,True,,True,True,recorded,0,0,0.934649,True,valid_proxy
btc_5m_20260705_1720,2026-07-05T17:15:00+00:00,2026-07-05T17:20:00+00:00,True,,True,True,recorded,0,0,0.947003,True,valid_proxy
btc_5m_20260705_1725,2026-07-05T17:20:00+00:00,2026-07-05T17:25:00+00:00,True,,True,True,recorded,0,0,0.932796,True,valid_proxy
btc_5m_20260705_1730,2026-07-05T17:25:00+00:00,2026-07-05T17:30:00+00:00,True,,True,True,recorded,0,0,0.924858,True,valid_proxy
btc_5m_20260705_1735,2026-07-05T17:30:00+00:00,2026-07-05T17:35:00+00:00,True,,True,True,recorded,0,0,0.933601,True,valid_proxy
btc_5m_20260705_1740,2026-07-05T17:35:00+00:00,2026-07-05T17:40:00+00:00,True,,True,True,recorded,0,0,0.948075,True,valid_proxy
btc_5m_20260705_1745,2026-07-05T17:40:00+00:00,2026-07-05T17:45:00+00:00,True,,True,True,recorded,0,0,0.948035,True,valid_proxy
btc_5m_20260705_1750,2026-07-05T17:45:00+00:00,2026-07-05T17:50:00+00:00,True,,True,True,recorded,0,0,0.911828,True,valid_proxy
btc_5m_20260705_1755,2026-07-05T17:50:00+00:00,2026-07-05T17:55:00+00:00,True,,True,True,recorded,0,0,0.947636,True,valid_proxy
btc_5m_20260705_1800,2026-07-05T17:55:00+00:00,2026-07-05T18:00:00+00:00,True,,True,True,recorded,0,0,0.929298,True,valid_proxy
btc_5m_20260705_1805,2026-07-05T18:00:00+00:00,2026-07-05T18:05:00+00:00,True,,True,True,recorded,0,0,0.93057,True,valid_proxy
btc_5m_20260705_1810,2026-07-05T18:05:00+00:00,2026-07-05T18:10:00+00:00,True,,True,True,recorded,0,0,0.949074,True,valid_proxy
btc_5m_20260705_1815,2026-07-05T18:10:00+00:00,2026-07-05T18:15:00+00:00,True,,True,True,recorded,0,0,0.952072,True,valid_proxy
btc_5m_20260705_1820,2026-07-05T18:15:00+00:00,2026-07-05T18:20:00+00:00,True,,True,True,recorded,0,0,0.93482,True,valid_proxy
btc_5m_20260705_1825,2026-07-05T18:20:00+00:00,2026-07-05T18:25:00+00:00,True,,True,True,recorded,0,0,0.956739,True,valid_proxy
btc_5m_20260705_1830,2026-07-05T18:25:00+00:00,2026-07-05T18:30:00+00:00,True,,True,True,recorded,0,0,0.934518,True,valid_proxy
btc_5m_20260705_1835,2026-07-05T18:30:00+00:00,2026-07-05T18:35:00+00:00,True,,True,True,recorded,0,0,0.945331,True,valid_proxy
btc_5m_20260705_1840,2026-07-05T18:35:00+00:00,2026-07-05T18:40:00+00:00,True,,True,True,recorded,0,0,0.932492,True,valid_proxy
btc_5m_20260705_1845,2026-07-05T18:40:00+00:00,2026-07-05T18:45:00+00:00,True,,True,True,recorded,0,0,0.942317,True,valid_proxy
btc_5m_20260705_1850,2026-07-05T18:45:00+00:00,2026-07-05T18:50:00+00:00,True,,True,True,recorded,0,0,0.915448,True,valid_proxy
btc_5m_20260705_1855,2026-07-05T18:50:00+00:00,2026-07-05T18:55:00+00:00,True,,True,True,recorded,0,0,0.92766,True,valid_proxy
btc_5m_20260705_1900,2026-07-05T18:55:00+00:00,2026-07-05T19:00:00+00:00,True,,True,True,recorded,0,0,0.925602,True,valid_proxy
btc_5m_20260705_1905,2026-07-05T19:00:00+00:00,2026-07-05T19:05:00+00:00,True,,True,True,recorded,0,0,0.928703,True,valid_proxy
btc_5m_20260705_1910,2026-07-05T19:05:00+00:00,2026-07-05T19:10:00+00:00,True,,True,False,recorded,0,0,0.938212,True,partial
